id,neighbourhood,latitude,longitude,availability_365,number_of_reviews,reviews_per_month,minimum_nights,distance_seine,prix_moyen_journalier,periode
287674,Hôtel-de-Ville,48.85824,2.35839,228,333,2.25,4,574.7204273444548,189.0,mars_2025
302194,Ménilmontant,48.87069,2.37915,133,118,0.76,3,2527.7957908292883,86.0,mars_2025
302727,Temple,48.86371,2.35578,333,137,0.88,4,990.1670228894761,140.0,mars_2025
306624,Buttes-Montmartre,48.88415,2.34378,277,254,1.61,3,2835.073458022388,145.0,mars_2025
311573,Temple,48.86473,2.36387,196,99,0.63,5,1400.553963612107,190.0,mars_2025
312437,Bourse,48.86735153198242,2.345644950866699,141,275,1.74,3,1098.6046746591544,230.0,mars_2025
314294,Reuilly,48.84968,2.38144,73,316,2.01,5,1182.4335055806876,110.0,mars_2025
314903,Popincourt,48.85294,2.37536,136,43,0.27,5,1093.3898240417177,190.0,mars_2025
333104,Buttes-Chaumont,48.87371,2.37825,1,18,0.11,3,2779.31673837131,290.0,mars_2025
341124,Popincourt,48.857,2.38706,69,49,0.32,6,2034.7187492641783,80.0,mars_2025
342902,Vaugirard,48.84372,2.31758,201,117,0.75,3,2034.8807475995725,115.0,mars_2025
343648,Hôtel-de-Ville,48.85746,2.35539,193,555,3.64,2,385.8695526638808,83.0,mars_2025
343862,Louvre,48.85997,2.3439,300,87,0.56,4,276.8626625571695,250.0,mars_2025
344230,Panthéon,48.84801,2.34959,125,74,0.48,5,422.7089912977754,200.0,mars_2025
344366,Luxembourg,48.85066,2.33825,50,65,0.52,3,581.9806999531678,295.0,mars_2025
349335,Buttes-Chaumont,48.88707,2.38542,38,28,0.19,2,4336.172812784689,300.0,mars_2025
352851,Buttes-Montmartre,48.88511,2.33756,10,370,2.35,2,2738.7127111406608,160.0,mars_2025
354929,Bourse,48.86944,2.35107,317,98,0.75,6,1440.515104070068,150.0,mars_2025
371299,Hôtel-de-Ville,48.85751,2.35511,273,626,3.98,3,379.0746052331201,195.0,mars_2025
262557,Entrepôt,48.87121,2.35996,138,207,1.28,2,1872.3359295850855,97.0,mars_2025
266725,Buttes-Montmartre,48.88676,2.33353,346,171,1.1,2,2793.21202985466,160.0,mars_2025
270072,Buttes-Chaumont,48.87483,2.38588,173,5,0.03,5,3189.420938059381,300.0,mars_2025
274590,Louvre,48.86633,2.33464,279,51,0.33,6,769.9194514564565,409.0,mars_2025
558304,Popincourt,48.85433,2.37193,274,214,1.51,3,906.0776084598862,120.0,mars_2025
563587,Opéra,48.88181,2.3348,365,130,0.84,6,2320.654972612575,89.0,mars_2025
566186,Bourse,48.86624,2.34412,312,108,0.75,3,948.7482628816896,170.0,mars_2025
566888,Opéra,48.87158,2.34681,295,88,0.58,3,1573.9975948702486,300.0,mars_2025
